country_name,province_code,province_name
Cambodia,1,Banteay Meanchey
Cambodia,2,Battambang
Cambodia,3,Kampong Cham
Cambodia,4,Kampong Chhnang
Cambodia,5,Kampong Speu
Cambodia,6,Kampong Thom
Cambodia,7,Kampot
Cambodia,8,Kandal
Cambodia,23,Kep
Cambodia,9,Koh Kong
Cambodia,10,Kratie
Cambodia,11,Mondul Kiri
Cambodia,22,Oddar Meanchey
Cambodia,24,Pailin
Cambodia,12,Phnom Penh
Cambodia,18,Preah Sihanouk
Cambodia,13,Preah Vihear
Cambodia,14,Prey Veng
Cambodia,15,Pursat
Cambodia,16,Ratanak Kiri
Cambodia,17,Siem Reap
Cambodia,19,Stung Treng
Cambodia,20,Svay Rieng
Cambodia,21,Takeo
Cambodia,25,Tboung Khmum
